"state","ipc"
"Brasil",1367
"Rondônia",1023
"Acre",888
"Amazonas",800
"Roraima",1046
"Pará",847
"Amapá",855
"Tocantins",1028
"Maranhão",635
"Piauí",837
"Ceará",881
"Rio Grande do Norte",1109
"Paraíba",876
"Pernambuco",829
"Alagoas",777
"Sergipe",929
"Bahia",843
"Minas Gerais",1325
"Espírito Santo",1295
"Rio de Janeiro",1724
"São Paulo",1836
"Paraná",1541
"Santa Catarina",1718
"Rio Grande do Sul",1787
"Mato Grosso do Sul",1471
"Mato Grosso",1362
"Goiás",1276
"Distrito Federal",2513
